Data requested via peatlandactiondata@nature.scot,,,,,
Acknowledgment: Contains NatureScot information licensed under the Open Government Licence v3.0,,,,,
Contact: peatlandactiondata@nature.scot,,,,,
,,,,,
Peatland Action - Rain gauges,,,,,
Site name,Installation date,X,Y,,
Abernethy,19/03/2015,298194,818736,,
Auchnafree,16/03/2105,280573,736143,,
Barlosh Moss,20/11/2014,248889,618663,,
Ben Lawers,12/06/2015,259278,737555,,
Ben Lomond,06/11/2014,238909,698923,,
Blawhorn Moss,28/04/2018,288392,668006,,
Cander Moss,28/10/2014,278166,645893,,
Carrifran,21/05/2015,315755,614377,,
Coalburn Moss,03/02/2016,282725,636608,,
Corrimony,11/03/2015,234831,826848,,
Corrour Forest,09/03/2015,239190,779446,,
Drone Moss,17/11/2014,384427,666980,,
Dundreggan,10/03/2015,228391,815270,,
Edinglassie,19/03/2015,336784,835446,,
Flanders Moss,08/01/2015,264554,699037,,
Glenmullie,23/04/2016,321178,818945,,
Goatfell,21/11/2014,201543,640705,,
Greenhead Moss,30/10/2014,281287,655087,,
Lenzie Moss,21/10/2014,264601,671837,,
Longbridgemuir,13/01/2015,304605,568523,,
Nairnside,09/02/2016,276206,841059,,
Red Moss of Balerno,03/03/2015,316345,663832,,
Red Moss of Leys,04/03/2015,374495,801370,,
Red Moss of Netherley,03/03/2015,386127,793997,,
Threepwood Moss,14/11/2014,351697,642205,,
Whim Bog,07/11/2014,320539,653680,,
