,Data requests to - peatlandactiondata@nature.scot,,,,,,,,
,,,,,,,,,
FID,UID,Grant_refe,Project_na,Grid_refer,Easting,Northing,Site_name,Financial_year,ERDMS_Ref
0,12359-NS630250,12359,Airds Moss Peatland Restoration,NS630250,263000,625000,Airds Moss,2012-13,A1897584
1,12410-NC555429,12410,Strategic Carbon Store and Carbon Sequestration - 5 Northern Estates,NC555429,255500,942900,A'Mhoine,2014-15,A1804267
2,12410-NC556436,12410,Strategic Carbon Store and Carbon Sequestration - 5 Northern Estates,NC556436,255600,943600,A'Mhoine,2014-15,A1804267
3,12410-NC560439,12410,Strategic Carbon Store and Carbon Sequestration - 5 Northern Estates,NC560439,256000,943900,A'Mhoine,2014-15,A1804267
4,12410-NC564432,12410,Strategic Carbon Store and Carbon Sequestration - 5 Northern Estates,NC564432,256400,943200,A'Mhoine,2014-15,A1804267
5,12410-NC568426,12410,Strategic Carbon Store and Carbon Sequestration - 5 Northern Estates,NC568426,256800,942600,A'Mhoine,2014-15,A1804267
6,12467-NO1780001500,12467,Portmoak Moss LNR-lowland raised bog restoration works,NO1780001500,317800,701500,Portmoak Moss,2014-15,A918371
7,12469-NS829622,12469,SALSBURGH BOG SITE CONDITION & RESTORATION FEASIBILITY REPORT,NS829622,282900,662200,Salsburgh Bog,2014-15,A1314466
8,12519-NH3494071776,12519,STRATHVAICH PEATLAND RESTORATION,NH3494071776,234940,871776,Strathvaich,2014-15,A1593464
9,12525-NH8619004277,12525,ALLT A'MHARCAIDH PEATLAND AND RIVER RESTORATION PROJECT,NH8619004277,286190,804277,Allt A'Mharcaidh,2014-15,A1572985
10,12541-NS9288066582,12541,Easter Inch Moss Peatland Restoration Project Phase 2,NS9288066582,292880,666582,Easter Inch Moss,2014-15,A1584669
11,12541-NS9986866680,12541,Easter Inch Moss Peatland Restoration Project Phase 2,NS9986866680,299868,666680,Easter Inch Moss,2014-15,A1584669
12,12541-NS9933866426,12541,Easter Inch Moss Peatland Restoration Project Phase 2,NS9933866426,299338,666426,Easter Inch Moss,2014-15,A1584669
13,12545-NS6691071167,12545,MILLERSNEUK MARSH MANAGEMENT PLAN,NS6691071167,266910,671167,Millersneuk marsh,2014-15,A1577096
14,12552-NS9200011200,12552,RESTORATION PLAN FOR PEATLANDS ON TROLOSS AND OVER FINGLAND FARMS,NS9200011200,292869,607576,Troloss and Over Fingland Farms,2014-15,A1494356
15,12552-NS9300005400,12552,RESTORATION PLAN FOR PEATLANDS ON TROLOSS AND OVER FINGLAND FARMS,NS9300005400,292869,607576,Troloss and Over Fingland Farms,2014-15,A1494356
16,12559-HU5433796440,12559,YELL PEATLAND RESTORATION FEASIBILITY PROJECT,HU5433796440,454337,1196440,Yell (Black Park),2014-15,A1577701
17,12559-HU4866595007,12559,YELL PEATLAND RESTORATION FEASIBILITY PROJECT,HU4866595007,448665,1195007,Yell (Lumbister),2014-15,A1577701
18,12569-NX2787270021,12569,Flow of Kilquhockdale Peatland Restoration Project Phase 1,NX2787270021,227872,570021,Flow of Kilquhockdale,2014-15,A1578472
19,500762-NM6230132331,500762,Resipole Woodlands - Feasibility Study,NM6230132331,162301,732331,Resipole Woodlands,2015-16,A1909017
20,500763-NS6126999891,500763,Cardross Peatland - Feasibility Study,NS6126999891,261269,699891,Cardross Forest,2015-16,A1911601
21,500778-NR2679068390,500778,Loch Gruinart Peatland Restoration Feasibility Study 2015,NR2679068390,126790,668390,Loch Gruinart,2015-16,A1911158
22,500780-HY3403223838,500780,Birsay Moors Peatland Restoration Feasibility Study 2015,HY3403223838,334032,1023838,Birsay Moors,2015-16,A1911147
23,500789-NJ0752610352,500789,Abernethy Peatland Restoration Feasibility Study,NJ0752610352,307526,810352,"Abernethy (An Lurg, Bile Buide)",2015-16,A1915249
24,500810-NM6595568773,500810,Kentra Peatland Restoration Feasibility Study,NM6595568773,165955,768773,Kentra,2015-16,A1864237
25,500991-NM4710087124,500991,Blar Dubh peatland restoration feasibility study,NM4710087124,147100,787124,Blar Dubh,2017-18,A2528622
26,500992-NM6527555455,500992,Kinlochteacuis Peatland Restoration Feasibility Study,NM6527555455,165275,755455,Kinlochteacuis Area A,2017-18,A2562307
27,500992-NM6636554915,500992,Kinlochteacuis Peatland Restoration Feasibility Study,NM6636554915,166365,754915,Kinlochteacuis Area B,2017-18,A2562307
28,501003-NN4150078000,501003,Feasibility Study at Meallan Odhar,NN4150078000,241500,778000,Meallan Odhar,2017-18,A2572553
29,501005-NM9180036600,501005,Feasibility Study at Moss of Achnacree,NM9180036600,191800,736600,Moss of Achnacree Area 1,2017-18,A2584810
30,501005-NM9140036500,501005,Feasibility Study at Moss of Achnacree,NM9140036500,191400,736500,Moss of Achnacree Area 2,2017-18,A2584810
31,501005-NM9110036300,501005,Feasibility Study at Moss of Achnacree,NM9110036300,191100,736300,Moss of Achnacree Area 3,2017-18,A2584810
32,501005-NM9170036100,501005,Feasibility Study at Moss of Achnacree,NM9170036100,191700,736100,Moss of Achnacree Area 4,2017-18,A2584810
33,501018-NN2103068765,501018,Glen Nevis Feasibility Study,NN2103068765,221030,768765,Glen Nevis,2017-18,A2560940
34,501021-NN0795190531,501021,Feasibility Study at Arkaig Community Forest,NN0795190531,207951,790531,Arkaig Community Forest Ardnois,2017-18,A2577958
35,501021-NN0785490151,501021,Feasibility Study at Arkaig Community Forest,NN0785490151,207854,790151,Arkaig Community Forest The Gusach,2017-18,A2577958
36,501021-NN1662088051,501021,Feasibility Study at Arkaig Community Forest,NN1662088051,216620,788051,Arkaig Community Forest Altna-h-eiridh,2017-18,A2577958
37,501034-NM439501,501034,Glenbellart Peat Depth and Feasibility Study,NM439501,143900,750100,Glenbellart,2017-18,A2582872
38,501048-NH447075,501048,Feasibility Study at Suidhe Viewpoint and Loch Knockie,NH447075,244700,807500,Suidhe Viewpoint and Loch Knockie,2017-18,A2681850
39,501050-NX1500070000,501050,Luce Catchment Feasibility Study,NX1500070000,215000,570000,Luce,2017-18,A2578252
40,501149-NH1435427865,501149,Affric and Kintail Peatland Restoration Feasibility Study,NH1435427865,214354,827865,East Benula South,2018-19,A2896016
41,501149-NH0020517503,501149,Affric and Kintail Peatland Restoration Feasibility Study,NH0020517503,200205,817503,Kintail,2018-19,A2896016
42,501149-NH2172429465,501149,Affric and Kintail Peatland Restoration Feasibility Study,NH2172429465,221724,829465,Mullardoch,2018-19,A2896016
43,501149-NH1409524142,501149,Affric and Kintail Peatland Restoration Feasibility Study,NH1409524142,214095,824142,North Affric,2018-19,A2896016
44,501173-NR384527,501173,Laggan Estate Peatland Restoration - Feasibility study,NR384527,138400,652700,Beinn Bhreac and hill ground,2018-19,A3118740
