uid,grant_refe,project_na,project_ty,osgr,easting,northing,site_name,restoratio,start_date,end_date,financial_year_end,snh_area,unitary_lo,applicant_type
500959-NT1776616531,500959,Winterhopeburn Farm Peatland Restoration,Restoration,NT1776616531,317766,616531,Winterhopeburn Farm,Wemyss & March Estates,01/11/2017,20/12/2017,2017-18,Southern Scotland,Scottish Borders,Private
12434-NT158145,12434,Peatland Restoration - Carrifran Wildwood - Survey,Feasibility,NT158145,315800,614500,"Carrifran, Little Firth Hope",Borders Forest Trust - Carrifran Wildwood,,,2013-14,Southern Scotland,Dumfries & Galloway,NGO
12434-NT145143,12434,Peatland Restoration - Carrifran Wildwood - Survey,Feasibility,NT145143,314500,614300,"Carrifran, Little Firth Hope",Borders Forest Trust - Carrifran Wildwood,,,2013-14,Southern Scotland,Dumfries & Galloway,NGO
12435-NY282745,12435,Lowland Peatland Restoration Challenge - 15 sites,Feasibility,NY282745,328200,574500,Multiple sites,SWT - Lowland challenge,,,2013-14,Southern Scotland,Dumfries & Galloway,NGO
12435-NY318737,12435,Lowland Peatland Restoration Challenge - 15 sites,Feasibility,NY318737,331800,573700,Multiple sites,SWT - Lowland challenge,,,2013-14,Southern Scotland,Dumfries & Galloway,NGO
12435-NY323717,12435,Lowland Peatland Restoration Challenge - 15 sites,Feasibility,NY323717,332300,571700,Multiple sites,SWT - Lowland challenge,,,2013-14,Southern Scotland,Dumfries & Galloway,NGO
12435-NY140700,12435,Lowland Peatland Restoration Challenge - 15 sites,Feasibility,NY140700,314000,570000,Multiple sites,SWT - Lowland challenge,,,2013-14,Southern Scotland,Dumfries & Galloway,NGO
12435-NY330725,12435,Lowland Peatland Restoration Challenge - 15 sites,Feasibility,NY330725,333000,572500,Multiple sites,SWT - Lowland challenge,,,2013-14,Southern Scotland,Dumfries & Galloway,NGO
12435-NY081875,12435,Lowland Peatland Restoration Challenge - 15 sites,Feasibility,NY081875,308100,587500,Multiple sites,SWT - Lowland challenge,,,2013-14,Southern Scotland,Dumfries & Galloway,NGO
12466-NT1574914422,12466,PEATLAND RESTORATION - CARRIFRAN WILDWOOD - LITTLE FIRTHHOPE,Restoration,NT1574914422,315749,614422,"Carrifran, Little Firth Hope",Borders Forest Trust - Carrifran Wildwood,,,2014-15,Southern Scotland,Dumfries & Galloway,NGO
12474-NX2666058501,12474,Derskelpin Farm and SSSI Restoration,Feasibility,NX2666058501,226660,558501,Derskelpin Farm,Derskelpin Farm,,,2014-15,Southern Scotland,Dumfries & Galloway,Private
12484-NX331678,12484,Peatland Restoration - FES additional,Restoration,NX331678,233100,567800,Ring Moss,FES - Scotland,22/04/2014,31/03/2015,2014-15,Southern Scotland,Dumfries & Galloway,Public
12499-NX9716469832,12499,Kirkconnell Flow South West - Peatland Restoration,Restoration,NX9716469832,297164,569832,Kirkconnell Flow,SNH,,,,Southern Scotland,Dumfries & Galloway,
12500-NX516659,12500,Scottish Natural Heritage - Cairnsmore of Fleet NNR – SSSI – Biosphere Reserve,Restoration,NX516659,251600,565900,Cairnsmore of Fleet NNR,,,,,,Dumfries & Galloway,
12507-NY140700,12507,Restoration of Sites in Private Ownership,Other,NY140700,314000,570000,,,,,2014-15,Southern Scotland,Dumfries & Galloway,NGO
12507-NY323717,12507,Restoration of Sites in Private Ownership,Other,NY323717,332300,571700,,,,,2014-15,Southern Scotland,Dumfries & Galloway,NGO
12508-NX4278258900,12508,RESTORATION OF SWT SITES,Restoration,NX4278258900,242782,558900,Carsegowan Moss,SWT - Lowland challenge,25/08/2014,31/03/2015,2014-15,Southern Scotland,Dumfries & Galloway,NGO
12513-NX8912258429,12513,BANKS MOSS RESTORATION PLAN,Feasibility,NX8912258429,289122,558429,Banks Moss,Drumstinchall Estate,06/08/2014,30/09/2014,2014-15,Southern Scotland,Dumfries & Galloway,Private
12524-NX2756071450,12524,Dargoal Peatland Restoration Project,Restoration,NX2756071450,227560,571450,Dargoal,,01/08/2014,05/03/2015,2014-15,Southern Scotland,Dumfries & Galloway,NGO
12526-NY0489268966,12526,Longbridge Muir Restoration Project,Restoration,NY0489268966,304892,568966,Longbridge Muir,SNH,01/07/2014,31/03/2015,2014-15,Southern Scotland,Dumfries & Galloway,public
12550-NY3233771618,12550,RESTORATION AT COWGARTH FLOW,Restoration,NY3233771618,332337,571618,COWGARTH FLOW,SWT - Lowland challenge,20/10/2014,31/03/2015,2014-15,Southern Scotland,Dumfries & Galloway,NGO
12561-NX2666058501,12561,"DERSKELPIN FARM & SSSI RESTORATION, STAGE 2",Restoration,NX2666058501,226660,558501,Derskelpin Farm (Derskelpin Moss),Derskelpin Farm,21/10/2014,31/01/2015,2014-15,Southern Scotland,Dumfries & Galloway,Private
12561-NX2466357625,12561,"DERSKELPIN FARM & SSSI RESTORATION, STAGE 2",Restoration,NX2466357625,224663,557625,Derskelpin Farm (Flow of Dergoals),Derskelpin Farm,21/10/2014,31/01/2015,2014-15,Southern Scotland,Dumfries & Galloway,Private
12566-NX4429560404,12566,Moss of Cree Restoration Project,Restoration/survey,NX4429560404,244295,560404,Moss of Cree.,Moss of Cree,28/10/2014,28/02/2015,2014-15,Southern Scotland,Dumfries & Galloway,NGO
12567-NT158145,12567,Carrifran Wildwood Little Firth Hope Peatland Restoration,Restoration/survey,NT158145,315800,614500,"Carrifran, Little Firth Hope",Borders Forest Trust - Carrifran Wildwood,06/10/2014,31/12/2014,2014-15,Southern Scotland,Dumfries & Galloway,NGO
12569-NX2787270021,12569,Flow of Kilquhockdale Peatland Restoration Project Phase 1,Other,NX2787270021,227872,570021,Flow of Kilquhockdale,Galloway Fisheries Trust,,,2014-15,Southern Scotland,Dumfries & Galloway,NGO
500793-NX5652169123,500793,Water of Fleet Peat land Catchment Survey Project,Feasibility,NX5652169123,256521,569123,Water of Fleet,Galloway Fisheries Trust,07/10/2015,29/02/2016,2015-16,Southern Scotland,Dumfries & Galloway,NGO
500793-NX5770768537,500793,Water of Fleet Peat land Catchment Survey Project,Feasibility,NX5770768537,257707,568537,Water of Fleet,Galloway Fisheries Trust,07/10/2015,29/02/2016,2015-16,Southern Scotland,Dumfries & Galloway,NGO
500793-NX5631665412,500793,Water of Fleet Peat land Catchment Survey Project,Feasibility,NX5631665412,256316,565412,Water of Fleet,Galloway Fisheries Trust,07/10/2015,29/02/2016,2015-16,Southern Scotland,Dumfries & Galloway,NGO
500793-NX5831163304,500793,Water of Fleet Peat land Catchment Survey Project,Feasibility,NX5831163304,258311,563304,Water of Fleet,Galloway Fisheries Trust,07/10/2015,29/02/2016,2015-16,Southern Scotland,Dumfries & Galloway,NGO
500793-NX5318467628,500793,Water of Fleet Peat land Catchment Survey Project,Feasibility,NX5318467628,253184,567628,Water of Fleet,Galloway Fisheries Trust,07/10/2015,29/02/2016,2015-16,Southern Scotland,Dumfries & Galloway,NGO
500793-NX5188566661,500793,Water of Fleet Peat land Catchment Survey Project,Feasibility,NX5188566661,251885,566661,Water of Fleet,Galloway Fisheries Trust,07/10/2015,29/02/2016,2015-16,Southern Scotland,Dumfries & Galloway,NGO
500793-NX5205066250,500793,Water of Fleet Peat land Catchment Survey Project,Feasibility,NX5205066250,252050,566250,Water of Fleet,Galloway Fisheries Trust,07/10/2015,29/02/2016,2015-16,Southern Scotland,Dumfries & Galloway,NGO
500793-NX6033065110,500793,Water of Fleet Peat land Catchment Survey Project,Feasibility,NX6033065110,260330,565110,Water of Fleet,Galloway Fisheries Trust,07/10/2015,29/02/2016,2015-16,Southern Scotland,Dumfries & Galloway,NGO
500943-NX7810761934,500943,Peatland for People/Bog Squad,Other,NX7810761934,278107,561934,,Butterfly Conservation - Bog Squad - Scotland,01/04/2017,31/03/2018,2017-18,Southern Scotland,Dumfries & Galloway,NGO
500982a-NX4440060400,500982a,Moss of Cree Restoration (Phase 1),Restoration,NX4440060400,244400,560400,Moss of Cree,,20/11/2017,23/02/2018,2017-18,Southern Scotland,Dumfries & Galloway,Private
500982b-NX4440060400,500982b,Moss of Cree Restoration (Phase 2),Restoration,NX4440060400,244400,560400,Moss of Cree,,20/09/2018,08/02/2019,2018-19,Southern Scotland,Dumfries & Galloway,Private
501049-NX563651,501049,D&G Water Quality Monitoring Project,Water Quality Monitoring,NX563651,256300,565100,"Fleet Catchment
",Galloway Fisheries Trust,01/02/2018,31/03/2019,2017-18,Southern Scotland,Dumfries & Galloway,NGO
501049-NX443604,501049,D&G Water Quality Monitoring Project,Water Quality Monitoring,NX443604,244300,560400,Moss of Cree,Galloway Fisheries Trust,01/02/2018,31/03/2019,2017-18,Southern Scotland,Dumfries & Galloway,NGO
501049-NX510786,501049,D&G Water Quality Monitoring Project,Water Quality Monitoring,NX510786,251000,578600,Beggers Moss,Galloway Fisheries Trust,01/02/2018,31/03/2019,2017-18,Southern Scotland,Dumfries & Galloway,NGO
501049-NX275715,501049,D&G Water Quality Monitoring Project,Water Quality Monitoring,NX275715,227500,571500,"Bladnoch Catchment (upper)
",Galloway Fisheries Trust,01/02/2018,31/03/2019,2017-18,Southern Scotland,Dumfries & Galloway,NGO
501050-NX1500070000,501050,Luce Catchment Feasibility Study,Feasibility,NX1500070000,215000,570000,Luce,Galloway Fisheries Trust,,,2017-18,Southern Scotland,Dumfries & Galloway,NGO
501061-NY039712,501061,Water Monitoring at Torrachilty and Lochar Mosses,Monitoring,NY039712,303900,571200,Lochar Mosses,FES - Scotland,,,2017-18,Southern Scotland,Dumfries & Galloway,Public
501067-NX9728769808,501067,Peatland for People/Bog Squad,Other,NX9728769808,297287,569808,Kirkconnell Flow,Butterfly Conservation - Bog Squad - Scotland,03/05/2018,16/04/2019,2018-19,Southern Scotland,Dumfries & Galloway,NGO
501144-NX509781,501144,Various sites - FES,Restoration,NX509781,250900,578100,South Dee,FES - Scotland,21/11/2019,20/01/2019,2018-19,Southern Scotland,Dumfries & Galloway,Public
501167-NT157144,501167,Little Firthhope Peatland Restoration Project Phase 2,Restoration,NT157144,315700,614400,Little Firthhope,,,,2018-19,Southern Scotland,Dumfries & Galloway,NGO
501168-NT173165,501168,Grey Mares Tail Restoration Project,Restoration,NT173165,317300,616500,Loch Skeen - Grey Mare’s Tail,,,,2018-19,Southern Scotland,Dumfries & Galloway,NGO
501254-NX4444060682,501254,Restoration at Moss of Cree (Phase  3),Restoration,NX4444060682,244440,560682,Moss of Cree - Phase 3 area,,,,2019-20,Southern Scotland,Dumfries & Galloway,Private
501289-NY03877314,501289,Restoration on Various NEW Sites  - combined / replaced by 501288,Restoration,NY03877314,303870,573140,Racks Moss I Lochar Mosses,FES - Scotland,,,2019-20,Southern Scotland,Dumfries & Galloway,Public
501289-NX26997061,501289,Restoration on Various NEW Sites  - combined / replaced by 501288,Restoration,NX26997061,226990,570610,Tannylaggie I,FES - Scotland,,,2019-20,Southern Scotland,Dumfries & Galloway,Public
501306-NX970969,501306,Kirkconnell Flow South West - Peatland Restoration,Restoration,NX970969,297000,596900,Kirkconnell Flow NR,SNH,14/10/2019,20/01/2020,2019-20,Southern Scotland,Dumfries & Galloway,public
501611-NS929031,501611,Queensberry Farming Ltd - Restoration on Lowther Hills,Restoration,NS929031,292900,603100,Carsehope Middens,,,,2020-21,,Dumfries & Galloway,Private
501611-NS923027,501611,Queensberry Farming Ltd - Restoration on Lowther Hills,Restoration,NS923027,292300,602700,Smurring Haggs,,,,2020-21,,Dumfries & Galloway,Private
501611-NS945003,501611,Queensberry Farming Ltd - Restoration on Lowther Hills,Restoration,NS945003,294500,600300,Gana Hill,,,,2020-21,,Dumfries & Galloway,Private
501611-NS936012,501611,Queensberry Farming Ltd - Restoration on Lowther Hills,Restoration,NS936012,293600,601200,Berry Rig,,,,2020-21,,Dumfries & Galloway,Private
501649-NT160165,501649,Borders Forest Trust Blanket Bog Restoration Project,Restoration,NT160165,316000,616500,Brad Moss (T&G),Borders Forest Trust,,,2020-21,,Dumfries & Galloway,NGO
501649-NT157145,501649,Borders Forest Trust Blanket Bog Restoration Project,Restoration,NT157145,315700,614500,Little Firthhope (WW),Borders Forest Trust,,,2020-21,,Dumfries & Galloway,NGO
501650-NX528641,501650,Cairnsmore NNR  - Peatland Restoration 2020,Restoration,NX528641,252800,564100,Craig Hill,,,,2020-21,,Dumfries & Galloway,Public
501650-NX553631,501650,Cairnsmore NNR  - Peatland Restoration 2021,Restoration,NX553631,255300,563100,Pulwhanner East,,,,2020-21,,Dumfries & Galloway,Public
501650-NX552627,501650,Cairnsmore NNR  - Peatland Restoration 2022,Restoration,NX552627,255200,562700,Pulwhanner West,,,,2020-21,,Dumfries & Galloway,Public
